name,ra,dec,l,b,alphaKW,alphaKW0,AKHerschel,J_flux,J_flux_err,Jmag,H_flux,H_flux_err,Hmag,Ks_flux,Ks_flux_err,Ksmag,W1_flux,W1_flux_err,W1mag,W2_flux,W2_flux_err,W2mag,W3_flux,W3_flux_err,W3mag,W4_flux,W4_flux_err,W4mag,J_flag,H_flag,Ks_flag,W1_flag,W2_flag,W3_flag,W4_flag
star_13,82.9926625,-4.111557777777778,207.40626029159398,-19.53386928723587,-0.71,-0.71,0.102,4.912338856078745,0.4912338856078745,13.778,5.418760503504342,0.5418760503504342,13.191,5.748181268511701,0.5748181268511701,12.661,3.85049690156238,0.385049690156238,12.263,3.213644848934404,0.32136448489344044,11.82,3.640012812981541,0.3640012812981541,9.849,11.911380464671629,1.1911380464671628,7.116,1,1,1,1,1,1,1
star_14,83.00130416666664,-4.9316136111111115,208.18504716001695,-19.901426735918147,0.42,0.4,0.107,48.76276427821335,4.8762764278213355,11.286,44.98833875399431,4.4988338753994315,10.893,123.91687571324483,12.391687571324484,9.327,221.98149822187096,22.198149822187098,7.861,288.5345867700128,28.853458677001285,6.937,1814.2741485445156,181.42741485445157,3.105,2678.9345095932076,267.8934509593208,1.236,1,1,1,1,1,1,1
star_15,83.02589999999998,-4.9360625,208.20112868538448,-19.88163796024818,-0.99,-1.02,0.114,13.14886653152914,1.3148866531529142,12.709,17.183038241699364,1.7183038241699364,11.938,14.175241125703447,1.4175241125703448,11.681,12.39129733653855,1.2391297336538551,10.994,10.72007637980547,1.072007637980547,10.512,10.565812814273704,1.0565812814273705,8.692,14.66770263690264,1.466770263690264,6.89,1,1,1,1,1,1,1
star_16,83.04752916666666,-5.628885833333333,208.86868939415612,-20.17677900690975,-0.37,-0.56,0.973,8.7194344485299,0.8719434448529899,13.155,21.652096631322514,2.1652096631322517,11.687,20.05997812639704,2.0059978126397042,11.304,34.09704778754495,3.409704778754495,9.895,40.45739164804953,4.045739164804953,9.07,52.420711633660645,5.242071163366065,6.953,106.06255790971387,10.606255790971389,4.742,1,1,1,1,1,1,1
star_17,83.06180833333332,-6.348543888888889,209.56085753977686,-20.4879979938595,-0.77,-0.78,0.08,17.048584130424576,1.7048584130424578,12.427,19.911315624428816,1.9911315624428818,11.778,17.121052347599193,1.7121052347599193,11.476,11.280199439518388,1.1280199439518388,11.096,8.665584862516521,0.8665584862516522,10.743,14.598321112188884,1.4598321112188886,8.341,24.95525987352443,2.495525987352443,6.313,1,1,1,1,1,1,1
star_18,83.06304999999998,-5.583443888888889,208.83294809974905,-20.142459117914775,0.0,0.0,0.492,31.74594920757833,3.1745949207578334,11.752,38.50347762365395,3.850347762365395,11.062,36.13519936307626,3.6135199363076262,10.665,23.895536090527717,2.3895536090527716,10.281,19.65159837163576,1.9651598371635761,9.854,14.096227894397442,1.4096227894397444,8.379,30.673412618665743,3.0673412618665745,6.089,1,1,1,1,1,1,1
star_19,83.07811249999999,-5.227443888888889,208.50232328471955,-19.967807785505602,-0.45,-0.47,0.106,8.466195970768911,0.8466195970768912,13.187,10.604738324940662,1.0604738324940663,12.462,9.66341108831567,0.966341108831567,12.097,9.618708828776828,0.9618708828776829,11.269,8.810445715587655,0.8810445715587655,10.725,14.031461610304914,1.4031461610304916,8.384,36.071325110492175,3.6071325110492176,5.913,1,1,1,1,1,1,1
star_20,83.08276666666666,-5.615035833333333,208.8724115241616,-20.139237316839203,-0.7,-0.78,0.412,20.011899678572977,2.001189967857298,12.253,32.02579774881771,3.2025797748817713,11.262,30.89800613881829,3.0898006138818292,10.835,19.9488000916942,1.99488000916942,10.477,16.37562481951051,1.637562481951051,10.052,30.16497101764284,3.0164971017642843,7.553,51.2344521651404,5.12344521651404,5.532,1,1,1,1,1,1,1
star_21,83.10005833333332,-5.089872777777778,208.38252208861053,-19.88584223049184,-1.11,-1.14,0.14,73.53402138492443,7.353402138492443,10.84,106.24290977976439,10.62429097797644,9.96,100.26063597858365,10.026063597858366,9.557,69.4891146213091,6.94891146213091,9.122,51.07376568260152,5.107376568260152,8.817,47.19575221874454,4.719575221874454,7.067,77.11912560434219,7.711912560434219,5.088,1,1,1,1,1,1,1
star_22,83.10296666666665,-4.280247222222222,207.61884920923933,-19.51358201425092,-0.86,-0.86,0.127,3.7539485585302383,0.37539485585302385,14.07,4.148584655147658,0.41485846551476585,13.481,3.4924520740582805,0.3492452074058281,13.202,2.009633113977503,0.2009633113977503,12.969,1.6091550024339387,0.16091550024339388,12.571,2.398296713870358,0.23982967138703581,10.302,4.080957733296878,0.4080957733296878,8.279,1,1,1,1,1,1,1
star_23,83.10694999999998,-3.7204769444444445,207.09387780055405,-19.25258383519237,-0.82,-0.85,0.133,24.57470522001596,2.4574705220015964,12.03,31.586387330633162,3.1586387330633166,11.277,27.92096698641161,2.7920966986411613,10.945,21.95415763798593,2.195415763798593,10.373,16.849921412874902,1.6849921412874904,10.021,23.96088817895337,2.396088817895337,7.803,39.33345507534226,3.933345507534226,5.819,1,1,1,1,1,1,1
